model_id,seed,temperature_relative_l2,pde_residual_rms,active_phase_rmse,victim_phase_rmse,crosstalk_abs_error,trainable_parameters,quantum_parameters,gate_count,circuit_depth,runtime_seconds,final_training_loss,mean_abs_pairwise_correlation,effective_rank
classical_matched,11,0.08514638807813384,0.23807962244990732,0.006464869343629054,0.021423722639208692,0.12625589616782762,341,0,0,0,0.19117140700109303,0.04586731220857871,0.9439553508228801,1.4101192397434716
classical_matched,23,0.13961966350832727,0.33554860818287724,0.035722452769936824,0.006266745212515287,0.15378138907397032,341,0,0,0,0.08982624800410122,0.13942452775436837,0.9987898638373522,1.1128422066106833
classical_matched,37,0.0696681872691712,0.22022868526496892,0.01681674058906002,0.0030804319205290642,0.03293535087572619,341,0,0,0,0.09030166600132361,0.05459168536790668,0.9649982483689966,1.3546347273759731
classical_standard,11,0.056832806446154106,0.1735346362785818,0.002244217653272762,0.014513415148214553,0.07792914182374278,2209,0,0,0,0.10716041701380163,0.02703846043496001,0.9867182086795372,1.5803252361726585
classical_standard,23,0.142392157242398,0.18544338450108133,0.021177257977752773,0.010675253501817653,0.0043513284073887215,2209,0,0,0,0.0977832400240004,0.029317515083620127,0.9855935790567458,1.6537111880433997
classical_standard,37,0.061533752167366736,0.16174532149493726,0.015586821068503037,0.0005725013810178314,0.042421273308763996,2209,0,0,0,0.0977125660283491,0.029590539646086034,0.9826729818107206,1.6762388839760327
q0_separable,11,0.1153732373787824,0.12358411387001512,0.017672618681417507,0.01680493628794409,0.03791599096355902,343,6,4,2,22.854549994983245,0.01199971054455761,0.010426447457895088,1.0000000000000193
q0_separable,23,0.028246812320417095,0.10129371491889962,0.006164173509029702,0.002913197449600613,0.0024207911163717233,343,6,4,2,23.426737919973675,0.00909793385048031,0.039363545432125974,1.0000000000000338
q0_separable,37,0.2786860900583099,0.11192312269234937,0.05353105125649685,0.034203048232119504,0.03141932181112139,343,6,4,2,22.699316350976005,0.01207920911834155,0.011868552224551637,1.0000000000000202
q1_entangled,11,0.022305911396043522,0.10605154724861195,0.005654788470549871,0.001800469167217475,0.02472836802828493,343,6,5,3,24.119173084036447,0.01260883990287188,0.9999999999999999,1.0000000000000013
q1_entangled,23,0.06352227626219167,0.07981143885518761,0.012149738268045662,0.007370282498385686,0.003552539228244611,343,6,5,3,24.04548525600694,0.004493111887758637,1.0,1.000000000000001
q1_entangled,37,0.12890169608136678,0.11785942142828458,0.02489034614457361,0.013470529268627768,0.0012805183017468025,343,6,5,3,24.173575869994238,0.011356864618590397,1.0,1.0000000000000027
