model_id,kind,mean,std
classical_matched,active_phase_temporal,0.015386719238564153,0.011584159667114667
classical_matched,temperature_spatial,0.016378608541487004,0.01934228939915674
classical_standard,active_phase_temporal,0.017662271594915027,0.006425955852088299
classical_standard,temperature_spatial,0.003024424016390764,0.0023101777662428106
q0_separable,active_phase_temporal,0.0024537164976076264,0.0022634468508239344
q0_separable,temperature_spatial,0.001991221180589049,0.0015248679786022882
q1_entangled,active_phase_temporal,0.0023813172452088224,0.001211690287812782
q1_entangled,temperature_spatial,0.00349351689822992,0.0027050988787464293
