,temperature_relative_l2,temperature_relative_l2,pde_residual_rms,pde_residual_rms,active_phase_rmse,active_phase_rmse,victim_phase_rmse,victim_phase_rmse,crosstalk_abs_error,crosstalk_abs_error,trainable_parameters,trainable_parameters,quantum_parameters,quantum_parameters,gate_count,gate_count,circuit_depth,circuit_depth,runtime_seconds,runtime_seconds,final_training_loss,final_training_loss
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_id,,,,,,,,,,,,,,,,,,,,,,
classical_matched,0.20743547235617962,0.14047872285053878,0.19889110340657382,0.0798053834492041,0.029833164429415863,0.02538232827324304,0.012918485056978367,0.005535981123403188,0.06603934516484496,0.05074128855608328,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1269194040020617,0.014439072880876426,0.039147052570400964,0.02845744223493053
classical_standard,0.08678222250114437,0.03212538380857859,0.1344479818134546,0.043763841271545006,0.014058414762048735,0.00585610066431022,0.0050426730479397,0.0021810642494710865,0.019194194248452,0.02251420252116734,2241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17985316069098187,0.06890365635710707,0.015390532129126234,0.009779178636817303
q0_separable,0.12346883904863382,0.060598864239104606,0.1434325080855174,0.02072092373524816,0.017914290165630998,0.008923811319910437,0.009818188256015867,0.006277464083364573,0.035668785357978565,0.02529412598998794,343.0,0.0,6.0,0.0,4.0,0.0,2.0,0.0,23.150308293329243,0.139091094299464,0.014667460637445931,0.006744528158275102
q1_entangled,0.2136929054928478,0.026673449178010674,0.16388924411818614,0.015756630910053453,0.029092106143267567,0.004160925433173265,0.019511645693346565,0.0025021068973820177,0.0353924076848861,0.01665964630487201,343.0,0.0,6.0,0.0,5.0,0.0,3.0,0.0,24.5187291726664,0.1048275330811631,0.020649832342662235,0.00939107057611463
