,seed,seed,temperature_relative_l2,temperature_relative_l2,pde_residual_rms,pde_residual_rms,active_phase_rmse,active_phase_rmse,victim_phase_rmse,victim_phase_rmse,crosstalk_abs_error,crosstalk_abs_error,trainable_parameters,trainable_parameters,quantum_parameters,quantum_parameters,gate_count,gate_count,circuit_depth,circuit_depth,runtime_seconds,runtime_seconds,final_training_loss,final_training_loss,mean_abs_pairwise_correlation,mean_abs_pairwise_correlation,effective_rank,effective_rank
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical_matched,23.666666666666668,13.012814197295423,0.09814474628521079,0.036742621627599156,0.2646189719659178,0.06207192569912589,0.0196680209008753,0.014835730401609785,0.010256966590751015,0.009801044769972058,0.1043242120391747,0.063337905819439,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12376644033550595,0.058374897464232856,0.07996117511028458,0.05168119970077901,0.969247821009743,0.02766315428698101,1.2925320579100428,0.1580694934930652
classical_standard,23.666666666666668,13.012814197295423,0.08691957195197296,0.04809813418180646,0.1735744474248668,0.01184908166299482,0.013002765566509525,0.009727435998768316,0.00858705667701668,0.007201228620897646,0.04156724784663183,0.036796340530009644,2209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10088540768871705,0.0054344323738399055,0.028648838388222058,0.0014012934978767893,0.9849949231823345,0.0020880030524460936,1.6367584360640304,0.05015380153580511
q0_separable,23.666666666666668,13.012814197295423,0.14076871325250315,0.1271363661766723,0.11226698382708804,0.011149177176364213,0.025789281148981352,0.024704563021740424,0.017973727323221403,0.01567763518076572,0.02391870129701738,0.01889898897085211,343.0,0.0,6.0,0.0,4.0,0.0,2.0,0.0,22.993534755310975,0.3831097851312016,0.01105895117112649,0.0016987559285295112,0.020552848371524234,0.01630649132918549,1.0000000000000244,8.05351833369367e-15
q1_entangled,23.666666666666668,13.012814197295423,0.07157662791320066,0.05375239309610813,0.10124080251069471,0.019474847705969908,0.014231624294389714,0.009785313322918605,0.0075470936447436425,0.005837038832211022,0.009853808519425447,0.012931740416879799,343.0,0.0,6.0,0.0,5.0,0.0,3.0,0.0,24.112744736679208,0.06428681112965325,0.009486272136406971,0.004369278828322169,1.0,0.0,1.0000000000000018,7.850462293418876e-16
