model,feature,seed_values,mean,sample_std,chart_label,status
q0_separable,0,"[2.497176582884496e-16, 2.2180794995929288e-16, 2.273241497061281e-16]",2.32949919318e-16,1.47808970482e-17,Q0 feature 0,PASS
q0_separable,1,"[2.0456596223806443e-16, 2.1326482780290238e-16, 2.0495696545980593e-16]",2.075959185e-16,4.91331053273e-18,Q0 feature 1,PASS
q1_entangled,0,"[2.3597993112981754e-16, 2.384707230069895e-16, 2.411064002488979e-16]",2.38519018129e-16,2.56357576859e-18,Q1 feature 0,PASS
q1_entangled,1,"[3.7999180387525255, 3.7850865311634263, 3.8229374921789328]",3.80264735403,0.0190725112103,Q1 feature 1,PASS
